"['Phoenix, Arizona']",[]
[],['State capital city']
[],['City of Phoenix']
[],"[""Images, from top, left to right: Papago Park, Saint Mary's Basilica, Chase Tower, Downtown, Arizona Science Center, Rosson House, the light rail, a Saguaro cactus, and the McDowell Mountains""]"
[],['FlagSeal']
[],"['Nickname(s):\xa0""Valley of the Sun"", ""The Valley""']"
[],['Location within Maricopa County']
[],['PhoenixLocation within ArizonaShow map of ArizonaPhoenixLocation within the United StatesShow map of the United StatesPhoenixLocation within North AmericaShow map of North America']
[],['Coordinates: 33°27′N 112°04′W\ufeff / \ufeff33.450°N 112.067°W\ufeff / 33.450; -112.067Coordinates: 33°27′N 112°04′W\ufeff / \ufeff33.450°N 112.067°W\ufeff / 33.450; -112.067']
['Country'],['United States']
['State'],['Arizona']
['County'],['Maricopa']
['Settled'],['1867']
['Incorporated'],"['February 25, 1881']"
['Government'],[]
['•\xa0Type'],['Council-Manager']
['•\xa0Body'],['Phoenix City Council']
['•\xa0Mayor'],['Kate Gallego']
['Area[1]'],[]
['•\xa0State Capital'],"['518.90\xa0sq\xa0mi (1,343.94\xa0km2)']"
['•\xa0Land'],"['517.64\xa0sq\xa0mi (1,340.69\xa0km2)']"
['•\xa0Water'],['1.25\xa0sq\xa0mi (3.25\xa0km2)']
['•\xa0Metro'],"['14,565.76\xa0sq\xa0mi (37,725.1\xa0km2)']"
['Elevation[2]'],"['1,086\xa0ft (331\xa0m)']"
['Population\xa0(2010)[3]'],[]
['•\xa0State Capital'],"['1,445,632']"
['•\xa0Estimate\xa0(2017)[4]'],"['1,626,078']"
['•\xa0Rank'],['US: 5th']
['•\xa0Density'],"['3,119.94/sq\xa0mi (1,204.61/km2)']"
['•\xa0Urban'],"['3,629,114 (US: 12th)']"
['•\xa0Metro'],"['4,737,270 (US: 12th)']"
['•\xa0Demonym'],['Phoenician']
['Time zone'],['UTC−7 (MST (no DST))']
['ZIP codes'],['85001–85099']
['Area codes'],['East: 480\nCentral: 602\nWest: 623']
['FIPS code'],['04-55000']
['GNIS ID(s)'],"['44784, 2411414']"
['Major airport'],['Phoenix Sky Harbor International Airport']
['Secondary Airports'],['Deer Valley AirportPhoenix–Mesa Gateway Airport']
['Interstates'],['']
['U.S. Highways'],['']
['State Routes'],['']
['Website'],['www.phoenix.gov']
